x [m];Real Chord [m]
0;0.38
0.005282609;0.38
0.010565217;0.38
0.015847826;0.38
0.021130435;0.38
0.026413043;0.38
0.031695652;0.38
0.036978261;0.38
0.04226087;0.38
0.047543478;0.38
0.052826087;0.38
0.058108696;0.38
0.063391304;0.38
0.068673913;0.38
0.073956522;0.38
0.07923913;0.38
0.084521739;0.38
0.089804348;0.38
0.095086957;0.38
0.100369565;0.38
0.105652174;0.38
0.110934783;0.38
0.116217391;0.38
0.1215;0.38
0.126782609;0.38
0.132065217;0.38
0.137347826;0.38
0.142630435;0.38
0.147913043;0.38
0.153195652;0.38
0.158478261;0.38
0.16376087;0.38
0.169043478;0.38
0.174326087;0.38
0.179608696;0.38
0.184891304;0.38
0.190173913;0.38
0.195456522;0.38
0.20073913;0.38
0.206021739;0.38
0.211304348;0.38
0.216586957;0.38
0.221869565;0.38
0.227152174;0.38
0.232434783;0.38
0.237717391;0.38
0.243;0.38
0.248282609;0.38
0.253565217;0.38
0.258847826;0.38
0.264130435;0.38
0.269413043;0.38
0.274695652;0.38
0.279978261;0.38
0.28526087;0.38
0.290543478;0.38
0.295826087;0.38
0.301108696;0.38
0.306391304;0.38
0.311673913;0.38
0.316956522;0.38
0.32223913;0.38
0.327521739;0.38
0.332804348;0.38
0.338086957;0.38
0.343369565;0.38
0.348652174;0.38
0.353934783;0.38
0.359217391;0.38
0.3645;0.38
0.369782609;0.38
0.375065217;0.38
0.380347826;0.38
0.385630435;0.38
0.390913043;0.38
0.396195652;0.38
0.401478261;0.38
0.40676087;0.38
0.412043478;0.38
0.417326087;0.38
0.422608696;0.38
0.427891304;0.38
0.433173913;0.38
0.438456522;0.38
0.44373913;0.38
0.449021739;0.38
0.454304348;0.379326316
0.459586957;0.378652632
0.464869565;0.377978947
0.470152174;0.377305263
0.475434783;0.376631579
0.480717391;0.375957895
0.486;0.375284211
0.491282609;0.374610526
0.496565217;0.373936842
0.501847826;0.373263158
0.507130435;0.372589474
0.512413043;0.371915789
0.517695652;0.371242105
0.522978261;0.370568421
0.52826087;0.369894737
0.533543478;0.369221053
0.538826087;0.368547368
0.544108696;0.367873684
0.549391304;0.3672
0.554673913;0.366526316
0.559956522;0.365852632
0.56523913;0.365178947
0.570521739;0.364505263
0.575804348;0.363831579
0.581086957;0.363157895
0.586369565;0.362484211
0.591652174;0.361810526
0.596934783;0.361136842
0.602217391;0.360463158
0.6075;0.359789474
0.612782609;0.359115789
0.618065217;0.358442105
0.623347826;0.357768421
0.628630435;0.357094737
0.633913043;0.356421053
0.639195652;0.355747368
0.644478261;0.355073684
0.64976087;0.3544
0.655043478;0.353726316
0.660326087;0.353052632
0.665608696;0.352378947
0.670891304;0.351705263
0.676173913;0.351031579
0.681456522;0.350357895
0.68673913;0.349684211
0.692021739;0.349010526
0.697304348;0.348336842
0.702586957;0.347663158
0.707869565;0.346989474
0.713152174;0.346315789
0.718434783;0.345642105
0.723717391;0.344968421
0.729;0.344294737
0.734282609;0.343621053
0.739565217;0.342947368
0.744847826;0.342273684
0.750130435;0.3416
0.755413043;0.340926316
0.760695652;0.340252632
0.765978261;0.339578947
0.77126087;0.338905263
0.776543478;0.338231579
0.781826087;0.337557895
0.787108696;0.336884211
0.792391304;0.336210526
0.797673913;0.335536842
0.802956522;0.334863158
0.80823913;0.334189474
0.813521739;0.333515789
0.818804348;0.332842105
0.824086957;0.332168421
0.829369565;0.331494737
0.834652174;0.330821053
0.839934783;0.330147368
0.845217391;0.329473684
0.8505;0.3288
0.855782609;0.328126316
0.861065217;0.327452632
0.866347826;0.326778947
0.871630435;0.326105263
0.876913043;0.325431579
0.882195652;0.324757895
0.887478261;0.324084211
0.89276087;0.323410526
0.898043478;0.322736842
0.903326087;0.322063158
0.908608696;0.321389474
0.913891304;0.320715789
0.919173913;0.320042105
0.924456522;0.319368421
0.92973913;0.318694737
0.935021739;0.318021053
0.940304348;0.317347368
0.945586957;0.316673684
0.950869565;0.316
0.956152174;0.31388
0.961434783;0.31176
0.966717391;0.30964
0.972;0.30752
0.977282609;0.3054
0.982565217;0.30328
0.987847826;0.30116
0.993130435;0.29904
0.998413043;0.29692
1.003695652;0.2948
1.008978261;0.29268
1.01426087;0.29056
1.019543478;0.28844
1.024826087;0.28632
1.030108696;0.2842
1.035391304;0.28208
1.040673913;0.27996
1.045956522;0.27784
1.05123913;0.27572
1.056521739;0.2736
1.061804348;0.27148
1.067086957;0.26936
1.072369565;0.26724
1.077652174;0.26512
1.082934783;0.263
1.088217391;0.26088
1.0935;0.25876
1.098782609;0.25664
1.104065217;0.25452
1.109347826;0.2524
1.114630435;0.25028
1.119913043;0.24816
1.125195652;0.24604
1.130478261;0.24392
1.13576087;0.2418
1.141043478;0.23968
1.146326087;0.23756
1.151608696;0.23544
1.156891304;0.23332
1.162173913;0.2312
1.167456522;0.22908
1.17273913;0.22696
1.178021739;0.22484
1.183304348;0.22272
1.188586957;0.2206
1.193869565;0.21848
1.199152174;0.21636
1.204434783;0.21424
1.209717391;0.21212
1.215;0.21
