x [m];Lift Load[N/m]
0;45.89494101
0.005282609;45.89494101
0.010565217;45.89494101
0.015847826;45.89494101
0.021130435;45.89494101
0.026413043;45.89494101
0.031695652;45.89494101
0.036978261;45.89315453
0.04226087;45.88958158
0.047543478;45.88600863
0.052826087;45.88243568
0.058108696;45.87886273
0.063391304;45.87528978
0.068673913;45.87171682
0.073956522;45.86814387
0.07923913;45.86457092
0.084521739;45.86099797
0.089804348;45.85742502
0.095086957;45.85385207
0.100369565;45.84996017
0.105652174;45.84424789
0.110934783;45.83703419
0.116217391;45.82982049
0.1215;45.82260679
0.126782609;45.81539309
0.132065217;45.80817939
0.137347826;45.80096569
0.142630435;45.79375199
0.147913043;45.78653829
0.153195652;45.77932459
0.158478261;45.77211089
0.16376087;45.76489719
0.169043478;45.75673586
0.174326087;45.74668503
0.179608696;45.73569235
0.184891304;45.72469966
0.190173913;45.71370698
0.195456522;45.7027143
0.20073913;45.69172161
0.206021739;45.68072893
0.211304348;45.66973625
0.216586957;45.65874356
0.221869565;45.64775088
0.227152174;45.63675819
0.232434783;45.62451519
0.237717391;45.61028149
0.243;45.59530739
0.248282609;45.5803333
0.253565217;45.56535921
0.258847826;45.55038511
0.264130435;45.53541102
0.269413043;45.52043692
0.274695652;45.50546283
0.279978261;45.49048874
0.28526087;45.47551464
0.290543478;45.4587228
0.295826087;45.43978535
0.301108696;45.42052003
0.306391304;45.40125472
0.311673913;45.3819894
0.316956522;45.36272408
0.32223913;45.34345876
0.327521739;45.32419344
0.332804348;45.30492813
0.338086957;45.28464116
0.343369565;45.26194672
0.348652174;45.23786647
0.353934783;45.21378621
0.359217391;45.18970596
0.3645;45.1656257
0.369782609;45.14154545
0.375065217;45.11746519
0.380347826;45.0915864
0.385630435;45.06266744
0.390913043;45.03250683
0.396195652;45.00234623
0.401478261;44.97218562
0.40676087;44.94202501
0.412043478;44.90909989
0.417326087;44.8710719
0.422608696;44.83070556
0.427891304;44.79033921
0.433173913;44.74379757
0.438456522;44.68268569
0.44373913;44.62802202
0.449021739;44.57756838
0.454304348;44.51643372
0.459586957;44.45523519
0.464869565;44.39397279
0.470152174;44.32921224
0.475434783;44.26046451
0.480717391;44.19117274
0.486;44.12184528
0.491282609;44.05248214
0.496565217;43.98308332
0.501847826;43.91364881
0.507130435;43.84417862
0.512413043;43.77139983
0.517695652;43.69527557
0.522978261;43.61908498
0.52826087;43.54288284
0.533543478;43.46666914
0.538826087;43.3904439
0.544108696;43.3142071
0.549391304;43.23770484
0.554673913;43.15855237
0.559956522;43.07701721
0.56523913;42.99548993
0.570521739;42.91397052
0.575804348;42.83245899
0.581086957;42.75095533
0.586369565;42.66945954
0.591652174;42.58757068
0.596934783;42.50377189
0.602217391;42.41847338
0.6075;42.33319707
0.612782609;42.24794297
0.618065217;42.16271108
0.623347826;42.07750139
0.628630435;41.99231392
0.633913043;41.90675004
0.639195652;41.81997041
0.644478261;41.73237918
0.64976087;41.64481955
0.655043478;41.55729153
0.660326087;41.46979511
0.665608696;41.3823303
0.670891304;41.29489709
0.676173913;41.2060782
0.681456522;41.11403297
0.68673913;41.02019207
0.692021739;40.92640791
0.697304348;40.83268047
0.702586957;40.73900976
0.707869565;40.64539579
0.713152174;40.55183854
0.718434783;40.45578021
0.723717391;40.35511275
0.729;40.2524114
0.734282609;40.14980335
0.739565217;40.04728859
0.744847826;39.94486712
0.750130435;39.84253894
0.755413043;39.74030404
0.760695652;39.63447036
0.765978261;39.52314837
0.77126087;39.41004885
0.776543478;39.29708707
0.781826087;39.18426304
0.787108696;39.07157676
0.792391304;38.95902821
0.797673913;38.84661741
0.802956522;38.72887875
0.80823913;38.60422432
0.813521739;38.47814057
0.818804348;38.35225168
0.824086957;38.22655764
0.829369565;38.10105845
0.834652174;37.97575412
0.839934783;37.85064465
0.845217391;37.71738762
0.8505;37.57493551
0.855782609;37.43165454
0.861065217;37.28864574
0.866347826;37.14590911
0.871630435;37.00344465
0.876913043;36.86125236
0.882195652;36.71933224
0.887478261;36.56401499
0.89276087;36.39532957
0.898043478;36.22697409
0.903326087;36.05900502
0.908608696;35.89142237
0.913891304;35.72422614
0.919173913;35.55741633
0.924456522;35.39271755
0.92973913;35.24427975
0.935021739;35.11028476
0.940304348;34.97654175
0.945586957;34.84305074
0.950869565;34.63029443
0.956152174;34.33867857
0.961434783;34.04785569
0.966717391;33.75782577
0.972;33.46869855
0.977282609;33.18047348
0.982565217;32.89304005
0.987847826;32.60639651
0.993130435;32.32054286
0.998413043;32.03547909
1.003695652;31.75120521
1.008978261;31.46772122
1.01426087;31.16799438
1.019543478;30.84218713
1.024826087;30.50768292
1.030108696;30.17476884
1.035391304;29.84344491
1.040673913;29.5137111
1.045956522;29.18556744
1.05123913;28.85901391
1.056521739;28.52300175
1.061804348;28.14700846
1.067086957;27.74289268
1.072369565;27.34167603
1.077652174;26.94335853
1.082934783;26.54794018
1.088217391;26.15542097
1.0935;25.7658009
1.098782609;25.37907997
1.104065217;24.93034811
1.109347826;24.41423945
1.114630435;23.896384
1.119913043;23.38383537
1.125195652;22.87659357
1.130478261;22.37465861
1.13576087;21.87803047
1.141043478;21.38670917
1.146326087;20.81886141
1.151608696;20.10792269
1.156891304;19.33832584
1.162173913;18.57945802
1.167456522;17.83131922
1.17273913;17.09390945
1.178021739;16.36722871
1.183304348;15.65127699
1.188586957;13.70143773
1.193869565;10.17684678
1.199152174;6.345165172
1.204434783;2.586988383
1.209717391;0.365894528
1.215;0
